Metric,Value
StockBasedCompensation,5289
InterestExpense,579
InterestIncome,2680
Depreciation,10700
DepreciationAndAmortization,1600
OperatingLeaseCost,2043
OperatingLeaseAssets,8753
OperatingLeaseLiabilities,7671
Goodwill,5497
DeferredTaxLiabilities,8384
OperatingLeaseNewAssetsObtained,3677
OperatingLeaseDiscountRate,2.7
FinanceLeaseAssets,10371
FinanceLeaseLiabilities,9496
FinanceLeaseNewAssetsObtained,3467
FinanceLeaseDiscountRate,3.9
FinanceLeaseTerm,13
DeferredTaxAssets,15340
VariableLeaseCost,NULL
